Pais,CodigoISOpaís,Oficinaderegistro,Grupoedad,Edad,areaConocimiento,SubAreaConocimiento,NivelAcademico,Estadocivil,Genero,Etniadelapersona,Estatura ,Localizacion,Cantidaddepersonas
CANADA,CAN,C. CALGARY,ADULTO,47,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,NINGUNA,-1,"(56.130366, -106.346771)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO,52,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,151,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. MADRID,ADULTO,43,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,172,"(40.463667, -3.74922)",1
REINO UNIDO,GBR,C. LONDRES,ADULTO,35,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(55.378051, -3.435973)",1
VENEZUELA,VEN,C. CARACAS,ADULTO MAYOR,79,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,NINGUNA,170,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,56,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,SIN ETNIA REGISTRADA,158,"(37.09024, -95.712891)",1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,25,"INGENIERÍA, ARQUITECTURA Y AFINES",OTRAS INGENIERÍAS,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(46.227638, 2.213749)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,53,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,DESCONOCIDO,MASCULINO,NINGUNA,174,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. SAN FNDO ATABAPO,ADULTO,31,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. WASHINGTON,ADULTO JOVEN,26,NINGUNA,NINGUNA,NINGUNO,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",2
ESPAÑA,ESP,C. MADRID,ADULTO,43,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",12
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO,39,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA MECÁNICA Y AFINES,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. VALENCIA ESP,ADOLESCENTE,14,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,37,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,161,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. BARQUISIMETO,ADULTO,41,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,FEMENINO,NINGUNA,160,"(6.42375, -66.58973)",1
ECUADOR,ECU,C. ESMERALDAS,ADULTO,32,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,FEMENINO,OTRO,152,"(-1.831239, -78.183406)",1
ESPAÑA,ESP,C. MADRID,ADULTO,45,NO INDICA,NO INDICA,BACHILLERATO,DIVORCIADO,MASCULINO,OTRO,175,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO MAYOR,79,NO INDICA,NO INDICA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,171,"(6.42375, -66.58973)",1
COSTA RICA,CRI,C. SAN JOSE,ADULTO MAYOR,88,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,160,"(9.748917, -83.753428)",1
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO,48,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,DIVORCIADO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO,32,NINGUNA,NINGUNA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
MEXICO,MEX,C. MEXICO,ADULTO MAYOR,64,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(23.634501, -102.552784)",1
